Rank,POS bigrams preferred by Renaissance,Example
1,SP-PD (preposition - demostrative pronoun),
2,VM-PT (main verb - interrogative pronoun),
3,PP-DP (personal pronoun - possesive determiner),
4,CS-PD (subordinating conjuction - demostrative pronoun),
5,PD-VM (demostrative pronoun - main verb),
6,RG-VA (adverb - auxiliary verb),
7,PT-RG (interrogative pronoun - adverb),
8,PP-RG (personal pronoun - adverb),
9,PP-CC (personal pronoun - coordinating conjuction),
10,VS-PP (semiauxiliary verb - personal pronoun),
11,SP-RN (preposition - negative adverb),
12,SP-VS (preposition - semiauxiliary verb),
13,SP-DT (preposition - interrogative determiner),
14,AP-SP (possesive adjective - preposition),
15,VS-CS (semiauxiliary verb - subordinating conjuction),
